Value,Day sin,Day cos,Year sin,Year cos
40916.05,0.8660254037817439,0.5000000000046676,0.8940295789444319,-0.4480079373989279
43415.515,0.9659258262863073,0.2588190451128248,0.8937082251111763,-0.44864864690382267
46851.4525,1.0,1.3934510926788513e-12,0.8933864121112295,-0.4492891259033814
50320.3325,0.9659258262907949,-0.2588190450960768,0.8930641401099314,-0.4499293740685407
51885.7725,0.8660254037904133,-0.4999999999896517,0.892741409272858,-0.45056939107035593
52415.065,0.7071067811884392,-0.707106781184656,0.8924182197657955,-0.4512091765800517
51303.3025,0.5000000000068875,-0.8660254037804621,0.8920945717548423,-0.4518487302688196
49517.2775,0.2588190451153008,-0.9659258262856439,0.8917704654062557,-0.45248805180812235
47773.68,3.9567952442733704e-12,-1.0,0.8914459008865542,-0.4531271408694913
47131.6175,-0.25881904509360076,-0.9659258262914584,0.8911208783624914,-0.4537659971245772
46483.435,-0.5000000000000341,-0.866025403784419,0.8907953980010564,-0.4544046202451505
47468.2675,-0.7071067811828433,-0.7071067811902517,0.8904694599694737,-0.45504300990310126
48519.6275,-0.8660254037791805,-0.5000000000091074,0.8901430644352025,-0.4556811657704396
48826.62,-0.9659258262887468,-0.2588190451037207,0.8898162115659375,-0.45631908751929584
48623.795,-1.0,-6.520139395867889e-12,0.889488901529608,-0.4569567748219204
47548.38,-0.9659258262921219,0.25881904509112474,0.8891611344943785,-0.4575942273506842
45887.9675,-0.8660254037857006,0.4999999999978142,0.8888329106286481,-0.4582314447780789
42848.195,-0.7071067811920643,0.7071067811810308,0.8885042301010507,-0.4588684267767169
39551.655,-0.5000000000113274,0.8660254037778988,0.8881750930804546,-0.4595051730193314
37687.935,-0.2588190451061967,0.9659258262880833,0.887845499735937,-0.4601416831788275
36483.6275,-9.083483547462407e-12,1.0,0.8875154502368873,-0.46077795692807977
36008.8075,0.2588190451027048,0.965925826289019,0.8871849447528513,-0.4614139939402361
35893.085,0.4999999999955943,0.8660254037869823,0.8868539834536352,-0.4620497938885152
36193.9325,0.7071067811792182,0.7071067811938768,0.8865225665092792,-0.4626853564462578
36328.7725,0.8660254037838931,0.5000000000009449,0.8861906940900578,-0.46332068128692644
38012.7775,0.9659258262874199,0.2588190451086727,0.8858583663664792,-0.46395576808410594
40958.26,1.0,1.1646827699056926e-11,0.8855255835092859,-0.4645906165115032
43373.35,0.9659258262896824,-0.25881904510022885,0.885192345689454,-0.4652252262429479
44806.8525,0.866025403788264,-0.49999999999337436,0.8848586530781936,-0.46585959695239204
46215.0825,0.7071067811956894,-0.7071067811774057,0.8845245058469479,-0.4664937283139106
45820.27,0.5000000000031648,-0.8660254037826114,0.8841899041673943,-0.46712762000170155
43435.0625,0.2588190451111487,-0.9659258262867564,0.8838548482114433,-0.4677612716900859
41389.9475,-3.4174337771540655e-13,-1.0,0.8835193381512392,-0.4683946830535081
40309.27,-0.25881904509775283,-0.9659258262903458,0.8831833741591323,-0.46902785376658607
39919.58,-0.4999999999911544,-0.8660254037895456,0.8828469564077868,-0.46966078350391094
40565.845,-0.7071067811858829,-0.7071067811872122,0.8825100850700194,-0.4702934719403482
42494.2975,-0.8660254037813298,-0.5000000000053848,0.8821727603189071,-0.4709259187508371
42982.085,-0.965925826286093,-0.2588190451136247,0.8818349823277596,-0.4715581236104411
43284.4575,-1.0,-2.2216007738791123e-12,0.8814967512701192,-0.47219008619434777
43404.535,-0.9659258262910093,0.2588190450952768,0.8811580673197614,-0.47282180617786945
41673.51,-0.8660254037908273,0.4999999999889345,0.8808189306506943,-0.47345328323644287
39210.985,-0.7071067811890247,0.7071067811840703,0.8804793414371583,-0.47408451704562976
37463.2075,-0.5000000000076047,0.8660254037800481,0.8801392998536266,-0.47471550728111667
35640.125,-0.2588190451020446,0.9659258262891959,0.8797988060748048,-0.47534625361871535
34687.475,-4.784944925473631e-12,1.0,0.8794578602756307,-0.47597675573436293
34338.995,0.25881904509280085,0.9659258262916728,0.8791164626312742,-0.47660701330412186
34480.6625,0.49999999999931694,0.8660254037848331,0.8787746133171379,-0.47723702600418044
35329.5875,0.7071067811822578,0.7071067811908373,0.8784323125088287,-0.4778667935109025
35482.305,0.8660254037787664,0.5000000000098246,0.8780895603822673,-0.47849631550062816
37350.235,0.9659258262885324,0.25881904510452064,0.8777463571135246,-0.4791255916499734
40269.8275,1.0,7.34828907706815e-12,0.8774027028789304,-0.4797546216356308
43701.2225,0.9659258262923361,-0.25881904509032483,0.8770585978550467,-0.4803834051344192
45623.0375,0.8660254037861147,-0.499999999997097,0.8767140422186664,-0.481011941823284
46246.94,0.7071067811926498,-0.7071067811804452,0.8763690361468145,-0.4816402313792976
45701.4175,0.4999999999994422,-0.8660254037847607,0.876023579816747,-0.48226827347965945
44475.11,0.25881904510699666,-0.9659258262878689,0.8756776734059514,-0.48289606780169575
43536.5225,9.911633228662668e-12,-1.0,0.8753313170921465,-0.4835236140228604
43238.255,-0.2588190451019049,-0.9659258262892333,0.8749845110532821,-0.4841509118207346
43416.9525,-0.4999999999948771,-0.8660254037873963,0.8746372554675393,-0.48477796087302716
43722.3725,-0.7071067811786327,-0.7071067811944624,0.87428955051333,-0.4854047608575747
45042.24,-0.866025403783479,-0.5000000000016621,0.8739413963692969,-0.4860313114523419
44809.275,-0.9659258262872056,-0.2588190451094726,0.873592793214286,-0.48665761233547117
44592.31,-1.0,-1.2474977380257187e-11,0.8732437412274567,-0.48728366318508415
45058.3775,-0.9659258262898968,0.2588190450994289,0.8728942405881165,-0.48790946367958
43606.31,-0.8660254037886781,0.49999999999265715,0.8725442914758306,-0.48853501349743694
